epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4350.32,0.8071,0.53077,1.0626,0.75694,0.60736,0.65435,0.4373,0.9691,0.61674,1.18925,0.006733,0.006733,0.006733
68,4414.56,0.80178,0.52902,1.06102,0.76421,0.60337,0.66332,0.44232,0.96578,0.62622,1.18221,0.0066835,0.0066835,0.0066835
69,4478.95,0.80023,0.52623,1.05694,0.78977,0.60451,0.66413,0.4424,0.96758,0.61901,1.18633,0.006634,0.006634,0.006634
70,4543.26,0.79992,0.52249,1.05438,0.72394,0.62653,0.66062,0.43772,0.97217,0.61887,1.18967,0.0065845,0.0065845,0.0065845
71,4607.36,0.79446,0.51793,1.04973,0.74226,0.61248,0.65756,0.43908,0.96803,0.621,1.18316,0.006535,0.006535,0.006535
72,4671.44,0.79198,0.51657,1.05223,0.7344,0.61268,0.65491,0.44079,0.96731,0.62562,1.1858,0.0064855,0.0064855,0.0064855
73,4735.44,0.79114,0.51932,1.05233,0.7303,0.61842,0.65378,0.44046,0.96497,0.62183,1.18327,0.006436,0.006436,0.006436
74,4799.49,0.78833,0.51482,1.04943,0.72378,0.62549,0.65797,0.4417,0.96229,0.624,1.18124,0.0063865,0.0063865,0.0063865
75,4863.57,0.78372,0.50859,1.0454,0.73011,0.61288,0.66002,0.44263,0.96635,0.62548,1.18531,0.006337,0.006337,0.006337
76,4927.91,0.78108,0.50628,1.04587,0.7569,0.61676,0.66235,0.44257,0.96709,0.61773,1.18899,0.0062875,0.0062875,0.0062875
77,4991.87,0.77564,0.5038,1.04322,0.7674,0.6164,0.66893,0.44354,0.96445,0.62123,1.18659,0.006238,0.006238,0.006238
78,5056.05,0.77785,0.50458,1.04586,0.79367,0.60371,0.66139,0.43977,0.96495,0.62256,1.18873,0.0061885,0.0061885,0.0061885
79,5120.07,0.77271,0.50002,1.04178,0.75437,0.6112,0.65978,0.44417,0.96635,0.62056,1.1891,0.006139,0.006139,0.006139
80,5184.14,0.76976,0.49869,1.04062,0.79596,0.59844,0.66848,0.44593,0.97009,0.62326,1.19502,0.0060895,0.0060895,0.0060895
81,5248.43,0.76982,0.49923,1.03719,0.77643,0.61357,0.66962,0.44609,0.96141,0.61452,1.18526,0.00604,0.00604,0.00604
82,5312.72,0.76865,0.49702,1.03841,0.80183,0.60465,0.66756,0.44621,0.96462,0.61028,1.19466,0.0059905,0.0059905,0.0059905
83,5377.06,0.76526,0.49498,1.03827,0.77572,0.60551,0.66147,0.44243,0.96428,0.61543,1.19298,0.005941,0.005941,0.005941
84,5441.12,0.7586,0.48889,1.03319,0.73101,0.62476,0.66122,0.44089,0.96947,0.62179,1.19458,0.0058915,0.0058915,0.0058915
85,5516.93,0.75736,0.48912,1.03256,0.76477,0.60982,0.66466,0.44213,0.96505,0.62069,1.18884,0.005842,0.005842,0.005842
86,5581.12,0.75327,0.48656,1.03076,0.76169,0.6187,0.6674,0.43967,0.97044,0.62066,1.19703,0.0057925,0.0057925,0.0057925
87,5645.34,0.75879,0.48699,1.03471,0.76236,0.63316,0.66556,0.44524,0.96931,0.62015,1.19574,0.005743,0.005743,0.005743
88,5709.4,0.75099,0.4823,1.02965,0.77998,0.6139,0.66323,0.44655,0.9697,0.6243,1.19731,0.0056935,0.0056935,0.0056935
89,5773.57,0.74762,0.4805,1.02783,0.76273,0.61278,0.6621,0.44063,0.96624,0.62152,1.1954,0.005644,0.005644,0.005644
90,5837.79,0.74725,0.47934,1.0268,0.76727,0.62023,0.66971,0.44542,0.9685,0.6158,1.20041,0.0055945,0.0055945,0.0055945
91,5901.99,0.74517,0.47747,1.02582,0.75442,0.62859,0.67315,0.44979,0.96341,0.61396,1.18981,0.005545,0.005545,0.005545
92,5976.03,0.73846,0.47216,1.02083,0.7654,0.62556,0.67033,0.4508,0.96114,0.60924,1.18771,0.0054955,0.0054955,0.0054955
93,6040.35,0.74064,0.47297,1.02343,0.77738,0.61425,0.66628,0.4468,0.96227,0.61054,1.18786,0.005446,0.005446,0.005446
94,6104.61,0.73418,0.46933,1.01971,0.75016,0.63277,0.66627,0.44724,0.963,0.61489,1.18968,0.0053965,0.0053965,0.0053965
95,6168.86,0.73,0.46909,1.02,0.78319,0.61391,0.67021,0.4522,0.96275,0.61405,1.19173,0.005347,0.005347,0.005347
96,6233.16,0.73466,0.46787,1.01976,0.73633,0.62971,0.66643,0.44833,0.96241,0.60977,1.19456,0.0052975,0.0052975,0.0052975
97,6304.71,0.72966,0.465,1.01789,0.74154,0.62893,0.66787,0.44938,0.96248,0.60989,1.19412,0.005248,0.005248,0.005248
98,6372.05,0.72613,0.46241,1.01582,0.77626,0.61165,0.66405,0.44657,0.96679,0.61233,1.19821,0.0051985,0.0051985,0.0051985
99,6436.52,0.72652,0.46187,1.01623,0.74919,0.62437,0.66322,0.44526,0.9649,0.61058,1.19766,0.005149,0.005149,0.005149
100,6501.01,0.72008,0.45856,1.01042,0.78497,0.61828,0.66336,0.4461,0.96335,0.61282,1.1969,0.0050995,0.0050995,0.0050995
101,6565.34,0.7215,0.45913,1.01198,0.74651,0.62736,0.66259,0.44727,0.96633,0.61372,1.19949,0.00505,0.00505,0.00505
102,6629.7,0.71762,0.4539,1.00844,0.72857,0.63311,0.66199,0.44562,0.9657,0.61466,1.19794,0.0050005,0.0050005,0.0050005
103,6694.11,0.71446,0.45457,1.01033,0.74554,0.61876,0.66228,0.4452,0.96691,0.61237,1.20155,0.004951,0.004951,0.004951
104,6758.42,0.71449,0.45325,1.0104,0.77316,0.61471,0.66426,0.4464,0.96563,0.61091,1.20057,0.0049015,0.0049015,0.0049015
105,6822.64,0.71214,0.45399,1.00863,0.75313,0.61998,0.66097,0.44494,0.96618,0.61564,1.19849,0.004852,0.004852,0.004852
106,6887.05,0.71102,0.44922,1.00766,0.75139,0.61808,0.65763,0.44241,0.96524,0.61901,1.19782,0.0048025,0.0048025,0.0048025
107,6951.12,0.70545,0.44481,1.00549,0.76836,0.61973,0.65659,0.44142,0.96593,0.61573,1.20192,0.004753,0.004753,0.004753
108,7015.35,0.70515,0.44621,1.00596,0.77989,0.61286,0.65885,0.4402,0.96692,0.61397,1.20337,0.0047035,0.0047035,0.0047035
109,7079.59,0.70365,0.4456,1.00219,0.7487,0.62803,0.66203,0.4424,0.96541,0.61329,1.19965,0.004654,0.004654,0.004654
110,7143.82,0.69791,0.44022,1.0042,0.74539,0.62944,0.66632,0.44511,0.96736,0.60981,1.20239,0.0046045,0.0046045,0.0046045
